event	contribution_type	contribution_value	contribution_unit	importance
A_5	probability	0.01111	1	1
O_5	probability	0.01	1	0.9
A_6	probability	1.111E-3	1	0.1
O_6	probability	1E-3	1	0.09
A_7	probability	1.112E-4	1	0.01001
O_7	probability	1E-4	1	9E-3
A_8	probability	1.12E-5	1	1.008E-3
O_8	probability	1E-5	1	9E-4
A_9	probability	1.2E-6	1	1.08E-4
O_9	probability	1E-6	1	9E-5
A_10	probability	2E-7	1	1.8E-5
L	probability	1E-7	1	9E-6
O_10	probability	1E-7	1	9E-6
A_1	probability	0	1	0
A_2	probability	0	1	0
A_3	probability	0	1	0
A_4	probability	0	1	0
O_1	probability	0	1	0
O_2	probability	0	1	0
O_3	probability	0	1	0
O_4	probability	0	1	0
