quantity_type	quantity_value	quantity_unit	cut_set	cut_set_order
probability	0.04959	1	X33	1
probability	0.01989	1	X35.X5.X40.X24	4
probability	0.01074	1	X26.X35.X5.X40	4
probability	0.008774	1	X37.X40.X9.X24.X30	5
probability	0.005497	1	X32.X40.X24	3
probability	0.004738	1	X37.X40.X9.X26.X30	5
probability	0.002968	1	X26.X40.X32	3
probability	0.001805	1	X37.X40.X17.X24.X30	5
probability	0.0009746	1	X37.X40.X17.X26.X30	5
probability	0.00079	1	X31	1
probability	0.0002629	1	X1.X2.X3.X4.X35.X40.X9.X46.X24	9
probability	0.000142	1	X1.X2.X3.X4.X35.X40.X9.X46.X26	9
